RESPNO,REGION,URBRUR,Q70A,Q70B,Q70C,Q71A,Q71B,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q63E_GHA,Q63F_GHA,Q64A,Q64B,Q64C,Q64D,Q64E,Q100,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Province or region,Urban or Rural Primary Sampling Unit,Q70a. Regional organisation recognizes our country's needs/interests,Q70b. African Union recognizes our country's needs/interests,Q70c. African countries should have greater influence in international bodies,Q71a. Considered emigration to other country,Q71b. Most likely country for emigration,Q60a. Heard about climate change,Q60b. Climate change: affecting country,Q61a. Climate change: main cause,Q61b. Main responsibility for causing climate change,Q62a. Government must act now to limit climate change,Q62b. Rich countries must act now to limit climate change,Q62c. Rich countries should contribute to climate adaptation costs,Q62d. Who primarily responsible for limiting climate change,Q63a. Ban tree cutting for firewood/charcoal even if fuel more costly,Q63b. Require cleaner fuel cookstoves even if more costly,Q63c. Invest in infrastructure for climate resilience,Q63d. Pressure rich countries to provide climate change aid,Q63e-gha. Promote electric taxis/buses even if more costly,Q63f-gha. Invest in wind/solar energy even if more costly,Q64a. Climate change adaptation: change water consumption,Q64b. Climate change adaptation: change outdoor work,Q64c. Climate change adaptation: move to another place,Q64d. Climate change adaptation: change livestock rearing,Q64e. Climate change adaptation: change crops or food,Q100. Willing to participate in follow-up surveys,Q101. Respondent's gender,Q102. Language of interview,Q103. Others present,Q104a. Check with others,Q104b. Influence by others,Q104c. Approached by community/party representatives,Q104d. Feel threatened,Q104e. Physically threatened
GHA0004,267.0,1.0,4.0,3.0,4.0,3.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,4.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Neither Agree nor disagree,Agree,A lot,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Yes,Yes,Yes,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0005,267.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Strongly disagree,Strongly disagree,Strongly agree,A lot,North America (i.e. USA or Canada),Yes,Neither/ no change / about the same,Natural weather patterns or natural processes,"People, businesses and governments in other parts of the world",Strongly agree,Neither Agree nor disagree,Neither Agree nor disagree,Business and industry,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,Yes,No,No,No,Yes,Woman,Akan,No one,No,No,No,No,No
GHA0008,267.0,1.0,4.0,4.0,4.0,2.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Agree,Somewhat,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,No,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0017,267.0,1.0,4.0,4.0,4.0,0.0,97.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,3.0,5.0,4.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,260.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Agree,Agree,Agree,Not at all,Not applicable,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Disagree,Yes,No,Yes,No,No,Yes,Woman,Akan,Another adult/a few others,No,No,No,No,No
GHA0033,267.0,2.0,4.0,5.0,5.0,3.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,1.0,2.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,260.0,,4.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Agree,Strongly agree,Strongly agree,A lot,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Disagree,Strongly disagree,Disagree,Disagree,Don’t know,No,No,No,Yes,No,No,Man,Akan,Another adult/a few others,No,No,No,No,No
GHA0038,267.0,2.0,9.0,9.0,9.0,3.0,5.0,1.0,5.0,9.0,2.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260.0,,3.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,A lot,North America (i.e. USA or Canada),Yes,Much worse,Don’t know / Haven’t heard enough,"People, businesses and governments in other parts of the world",Disagree,Strongly agree,Strongly agree,The government of country,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,No,No,No,No,No,No,Man,Akan,Children only,No,No,No,No,No
GHA0040,267.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,260.0,,2.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Disagree,Disagree,Disagree,A little bit,Europe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Disagree,Agree,Disagree,Disagree,Disagree,Yes,Yes,Yes,No,No,Yes,Man,Akan,Spouse only,No,No,No,No,No
GHA0041,267.0,2.0,5.0,5.0,5.0,0.0,97.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,260.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Rural,Strongly agree,Strongly agree,Strongly agree,Not at all,Not applicable,Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Strongly agree,Strongly agree,The government of country,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Yes,Yes,Yes,No,No,Yes,Man,Akan,No one,No,No,No,No,No
GHA0059,267.0,1.0,2.0,4.0,5.0,3.0,5.0,1.0,4.0,1.0,2.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,1.0,5.0,5.0,0.0,1.0,1.0,7.0,9.0,0.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Disagree,Agree,Strongly agree,A lot,North America (i.e. USA or Canada),Yes,Somewhat worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Neither Agree nor disagree,Agree,Ordinary Citizens,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,Yes,Yes,Not applicable,Don't know,No,Man,English,No one,No,No,No,No,No
GHA0062,267.0,1.0,2.0,2.0,2.0,3.0,5.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ASHANTI,Urban,Disagree,Disagree,Disagree,A lot,North America (i.e. USA or Canada),No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,No,No,No,Yes,Woman,English,No one,No,No,No,No,No
